STA_LOC,RENT_ID,RENT_NO,RENT_NM,RENT_ID_NM,HOLD_NUM,STA_ADD1,STA_ADD2,STA_LAT,STA_LONG,START_INDEX,END_INDEX,RNUM
송파구,ST-1409,01278,송파구청 교차로,1278. 송파구청 교차로,16,서울특별시 송파구 오금로 20-2 구두수선대,,37.51579666,127.10681915,0,0,395
송파구,ST-1410,01279,마천금호어울림 1차아파트 건너편,1279. 마천금호어울림 1차아파트 건너편,10,서울특별시 송파구 성내천로39길 4,마천금호어울림 1차아파트 건너편,37.49751663,127.15467834,0,0,396
송파구,ST-1411,01280,송파파크데일 2단지입구 앞 주차장,1280. 송파파크데일 2단지입구 앞 주차장,13,서울특별시 송파구 성내천로47길 23,송파파크데일 2단지입구 앞 주차장,37.49565887,127.15717316,0,0,397
송파구,ST-1413,01282,송파소방서 맞은편(성내4교),1282. 송파소방서 맞은편(성내4교),10,서울특별시 송파구 오금로51길 56,송파소방서 맞은편(성내4교),37.49987411,127.14147949,0,0,398
송파구,ST-1414,01283,오금공원 사거리,1283. 오금공원 사거리,8,서울특별시 송파구 오금로 363 오금근린공원,,37.50541306,127.13169098,0,0,399
송파구,ST-1416,01285,위례별 유치원 뒤,1285. 위례별 유치원 뒤,10,서울특별시 송파구 위례광장로 136,위례별 유치원 뒤,37.47747040,127.14459229,0,0,400
송파구,ST-1417,01286,위례중앙푸르지오 1단지 앞,1286. 위례중앙푸르지오 1단지 앞,10,서울특별시 송파구 위례광장로 120,위례중앙푸르지오 1단지 앞,37.47437668,127.14067078,0,0,401
송파구,ST-1418,01287,위례아이파크 101동 맞은편,1287. 위례아이파크 101동 맞은편,8,서울특별시 송파구 위례순환로 413 위례새솔어린이집,,37.47746658,127.14151001,0,0,402
송파구,ST-1419,01288,문정중교 사거리,1288. 문정중교 사거리,15,서울특별시 송파구 송이로 238,문정중교 사거리,37.48799896,127.13108826,0,0,403
종로구,ST-142,00326,안국역 5번출구 앞,326. 안국역 5번출구 앞,15,서울특별시 종로구 율곡로 지하62,안국역 5번출구 앞,37.57624054,126.98616028,0,0,404
강동구,ST-1420,01050,둔촌역 3번 출입구,1050.  둔촌역 3번 출입구,15,서울특별시 강동구 양재대로 1349,,37.52678299,127.13557434,0,0,405
강동구,ST-1421,01051,"강일중,선사고 버스정류장(신암중학교 방면)","1051. 강일중,선사고 버스정류장(신암중학교 방면)",15,서울특별시 강동구 암사동 531,,37.55483627,127.13732147,0,0,406
송파구,ST-1422,01289,풍납토성 서성벽터B,1289. 풍납토성 서성벽터B,10,서울특별시 송파구 토성로 2,풍납동 자전거보관소,37.53147125,127.11109161,0,0,407
강북구,ST-1423,01543,수유1동 주민센터,1543. 수유1동 주민센터,10,서울특별시 강북구 삼양로 299,수유1동 주민센터,37.63018799,127.01773834,0,0,408
성북구,ST-1424,01361,홍익중고 입구,1361. 홍익중고 입구,20,서울특별시 성북구 성북동 142-1,,37.59296799,127.00223541,0,0,409
